song_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,kmeans_labels
0,0.617,0.872,0.048,0.0158,0.112,0.408,0.504,111.458,1
1,0.825,0.743,0.149,0.0142,2.12e-05,0.237,0.8,127.045,2
2,0.677,0.665,0.0305,0.56,1.01e-06,0.338,0.706,74.981,9
3,0.683,0.728,0.259,0.568,5.08e-05,0.0384,0.833,75.311,9
4,0.319,0.627,0.0687,0.675,7.29e-05,0.289,0.497,85.818,3
5,0.671,0.71,0.0356,0.0393,1.12e-05,0.0387,0.834,118.745,8
6,0.56,0.68,0.321,0.555,0.0,0.116,0.319,89.391,3
7,0.48,0.628,0.0262,0.174,3.28e-05,0.0753,0.541,143.412,7
8,0.357,0.653,0.0654,0.0828,0.0,0.0844,0.522,176.647,6
9,0.562,0.681,0.0871,0.113,0.0,0.11,0.357,148.064,4
10,0.852,0.874,0.0427,0.0168,0.45,0.133,0.666,129.029,2
11,0.557,0.533,0.0252,0.0492,0.0,0.205,0.233,143.994,7
12,0.26,0.659,0.0625,0.114,2.95e-05,0.499,0.537,184.38,0
13,0.652,0.372,0.0321,0.069,0.000197,0.0923,0.283,111.984,1
14,0.818,0.67,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,8
15,0.605,0.731,0.0358,0.24,0.000459,0.257,0.638,123.332,8
16,0.813,0.754,0.0494,0.166,0.0,0.121,0.923,112.962,1
17,0.483,0.533,0.145,0.805,0.0,0.161,0.878,140.11,7
18,0.736,0.563,0.0312,0.0165,0.0,0.166,0.96,102.021,5
19,0.637,0.416,0.0269,0.434,0.0,0.139,0.588,145.922,7
20,0.648,0.936,0.0797,0.0981,2.24e-05,0.0712,0.856,103.272,1
21,0.261,0.302,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,9
22,0.667,0.66,0.0348,0.117,0.000854,0.0707,0.905,133.867,7
23,0.364,0.606,0.0831,0.0748,0.000322,0.106,0.289,99.73,5
24,0.862,0.624,0.0565,0.0192,0.000153,0.0465,0.882,124.896,2
25,0.393,0.958,0.0871,0.00966,0.0,0.214,0.323,150.074,4
26,0.789,0.84,0.0361,0.00616,0.0,0.0646,0.821,103.957,1
27,0.677,0.604,0.0385,0.0612,0.0,0.353,0.297,134.052,7
28,0.609,0.895,0.0695,0.162,0.504,0.522,0.792,123.102,8
29,0.587,0.65,0.0283,0.381,1.01e-06,0.105,0.96,98.137,5
30,0.66,0.88,0.0375,0.0808,3.48e-06,0.15,0.862,103.395,1
31,0.307,0.95,0.138,0.00054,7.43e-05,0.313,0.524,127.895,2
32,0.64,0.852,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902,8
33,0.607,0.905,0.0426,0.00122,0.000261,0.0624,0.533,141.985,7
34,0.466,0.403,0.0337,0.395,0.0,0.111,0.337,119.81,8
35,0.455,0.296,0.0399,0.761,0.0,0.0783,0.31,171.744,6
36,0.596,0.738,0.0411,0.109,0.0,0.0947,0.461,127.961,2
37,0.592,0.767,0.027,0.0021,0.00165,0.127,0.328,96.483,5
38,0.692,0.497,0.119,0.676,0.0,0.259,0.475,81.308,9
39,0.488,0.364,0.0321,0.0714,0.0,0.0756,0.544,79.707,9
40,0.659,0.812,0.0487,0.23,0.0,0.0951,0.888,83.014,3
41,0.706,0.695,0.411,0.226,0.0,0.0496,0.972,181.337,6
42,0.672,0.393,0.0477,0.551,1.05e-05,0.105,0.319,130.086,2
43,0.68,0.543,0.141,0.857,0.000116,0.0881,0.796,111.62,1
44,0.553,0.594,0.0279,0.114,0.0,0.743,0.841,113.506,8
45,0.705,0.806,0.0309,0.0132,0.00428,0.0701,0.734,103.383,1
46,0.59,0.874,0.0263,0.0179,6.46e-06,0.134,0.607,125.018,2
47,0.734,0.927,0.042,0.076,0.00134,0.0465,0.901,118.039,8
48,0.864,0.515,0.0367,0.571,7.92e-05,0.0947,0.755,129.048,2
49,0.534,0.327,0.0335,0.0503,0.00213,0.281,0.767,139.867,7
50,0.483,0.676,0.0323,0.505,6.32e-05,0.297,0.502,116.418,8
51,0.471,0.574,0.0509,0.802,2.55e-06,0.0931,0.661,131.892,2
52,0.681,0.372,0.0432,0.64,0.0,0.169,0.476,91.873,3
53,0.485,0.721,0.0348,0.479,0.0,0.67,0.88,136.892,7
54,0.924,0.853,0.0792,0.107,1.45e-06,0.129,0.67,114.003,8
55,0.735,0.859,0.0346,0.00289,3.95e-06,0.111,0.758,126.587,2
56,0.807,0.887,0.275,0.00381,0.0,0.391,0.78,160.517,4
57,0.851,0.806,0.0786,0.12,1.33e-06,0.121,0.776,119.001,8
58,0.536,0.606,0.0355,0.103,1.08e-05,0.255,0.719,146.425,7
59,0.448,0.312,0.0552,0.84,3.8e-06,0.0848,0.403,158.27,4
60,0.719,0.639,0.0376,0.797,1.43e-05,0.075,0.727,128.272,2
61,0.662,0.891,0.0291,0.0128,0.0,0.448,0.823,123.728,2
62,0.748,0.551,0.0907,0.327,1.43e-05,0.096,0.334,104.175,1
63,0.683,0.751,0.0346,0.0681,8.36e-06,0.248,0.841,103.036,1
64,0.836,0.544,0.0943,0.0403,0.0,0.0824,0.51,97.028,5
65,0.804,0.801,0.0305,0.275,3.29e-05,0.215,0.826,98.12,5
66,0.349,0.795,0.0758,0.0102,0.000138,0.0812,0.542,148.985,4
67,0.951,0.6,0.0685,0.106,0.0,0.0712,0.822,125.04,2
68,0.702,0.626,0.0298,0.0744,2e-05,0.072,0.799,125.199,2
69,0.719,0.616,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963,2
70,0.704,0.247,0.0297,0.64,1.72e-06,0.085,0.236,86.952,3
71,0.737,0.784,0.0777,0.00682,0.2,0.537,0.587,99.773,5
72,0.632,0.88,0.0463,0.0144,0.0021,0.118,0.338,129.007,2
73,0.574,0.238,0.0476,0.365,1.32e-05,0.126,0.126,84.018,3
74,0.561,0.522,0.0318,0.227,0.0,0.104,0.238,83.962,3
75,0.392,0.629,0.0335,0.718,3.76e-06,0.129,0.72,124.511,2
76,0.521,0.877,0.0683,0.0132,0.0806,0.0929,0.199,180.007,6
77,0.813,0.732,0.03,0.0597,0.00137,0.0826,0.731,130.02,2
78,0.742,0.533,0.0288,0.459,0.148,0.064,0.391,97.395,5
79,0.464,0.321,0.0418,0.877,0.0,0.0789,0.306,93.528,5
80,0.69,0.622,0.0622,0.253,0.0,0.116,0.544,102.04,5
81,0.638,0.803,0.0681,0.0244,0.0,0.169,0.756,128.035,2
82,0.604,0.788,0.103,0.0678,0.153,0.127,0.301,126.06,2
83,0.617,0.658,0.0512,0.494,0.0,0.293,0.949,128.363,2
84,0.593,0.834,0.0353,0.0486,0.000584,0.115,0.813,148.719,4
85,0.787,0.848,0.0549,0.0915,0.0,0.15,0.947,121.989,8
86,0.667,0.373,0.05,0.785,0.0,0.0906,0.0823,124.148,2
87,0.585,0.973,0.0733,0.00676,5.21e-05,0.262,0.958,161.05,4
88,0.644,0.595,0.215,0.121,0.0,0.279,0.554,148.889,4
89,0.515,0.908,0.0368,0.0158,1.88e-05,0.412,0.637,150.031,4
90,0.725,0.844,0.0347,0.363,0.000716,0.125,0.711,104.001,1
91,0.694,0.81,0.0661,0.122,0.0,0.141,0.824,137.968,7
92,0.634,0.587,0.03,0.271,0.0,0.165,0.623,105.642,1
93,0.379,0.664,0.0307,0.0167,0.000679,0.0915,0.301,115.272,8
94,0.45,0.442,0.0353,0.493,0.00564,0.134,0.812,208.282,0
95,0.633,0.673,0.258,0.297,0.0,0.206,0.659,86.776,3
96,0.677,0.915,0.0912,0.00121,0.916,0.322,0.545,124.929,2
97,0.769,0.721,0.109,0.488,1.09e-06,0.316,0.857,123.057,8
98,0.653,0.822,0.033,0.00021,0.0047,0.0838,0.762,117.949,8
99,0.42,0.969,0.0581,2.84e-05,0.00861,0.379,0.182,174.038,6
100,0.53,0.59,0.025,0.183,0.00227,0.0675,0.43,144.202,7
101,0.543,0.912,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,1
102,0.699,0.68,0.0276,0.00993,0.0,0.11,0.578,94.979,5
103,0.768,0.741,0.0423,0.0234,7.2e-05,0.242,0.95,125.06,2
104,0.629,0.721,0.0287,0.0395,0.0,0.349,0.787,159.951,4
